"date","close","volume","open","high","low"
"2016/01/15","188.7400","8830662.0000","187.6400","189.6900","186.4600"
"2016/01/14","192.8000","6909744.0000","190.4800","194.2000","188.5700"
"2016/01/13","189.7900","7002810.0000","195.3500","195.8100","189.3000"
"2016/01/12","194.5200","5444399.0000","194.8500","195.5000","192.0800"
"2016/01/11","193.0300","7485950.0000","193.9500","194.3300","190.7800"
"2016/01/08","192.8300","8902517.0000","196.1350","196.8117","192.5200"
"2016/01/07","194.9900","7543504.0000","196.3000","198.4000","194.5700"
"2016/01/06","199.7700","5496578.0000","199.3600","201.0200","198.5700"
"2016/01/05","202.4200","5262104.0000","202.3100","202.8800","201.0350"
"2016/01/04","202.0000","7439374.0000","201.4700","202.0100","199.5900"
"2015/12/31","204.8700","6230735.0000","206.2100","206.9000","204.8700"
"2015/12/30","206.9700","5181777.0000","208.1300","208.2100","206.7800"
"2015/12/29","208.5100","4690373.0000","207.5600","208.8000","207.5000"
"2015/12/28","206.3400","3710848.0000","206.0900","206.4500","205.1500"
"2015/12/24","206.8300","2254651.0000","206.9800","207.5400","206.6428"
"2015/12/23","208.4400","5300056.0000","207.0800","208.4600","206.9400"
"2015/12/22","205.8500","4574105.0000","205.0400","206.2300","203.9100"
"2015/12/21","203.9600","3704599.0000","203.8300","204.2300","202.4300"
"2015/12/18","202.2200","7049444.0000","205.1300","205.2300","202.1400"
"2015/12/17","206.0800","6566375.0000","209.5900","209.6800","206.0000"
"2015/12/16","209.1700","5649246.0000","207.6200","209.5799","205.9200"
"2015/12/15","206.1900","4734399.0000","205.8700","207.2500","205.6800"
"2015/12/14","204.1800","8134173.0000","203.2200","204.1800","201.1000"
"2015/12/11","202.8900","8088508.0000","204.5900","205.2600","202.6300"
"2015/12/10","207.0100","6195577.0000","206.6100","208.5800","206.3000"
"2015/12/09","206.4900","5731725.0000","207.3800","209.8500","205.3600"
"2015/12/08","208.1300","7065160.0000","207.6700","209.2000","206.9400"
"2015/12/07","209.5000","5874704.0000","210.4000","210.4499","208.3700"
"2015/12/04","210.8000","6690208.0000","207.2500","211.1700","207.0900"
"2015/12/03","206.7600","5915717.0000","210.0300","210.3400","205.9100"
"2015/12/02","209.7400","3846733.0000","211.8400","212.2000","209.4100"
"2015/12/01","211.9300","4190153.0000","210.6400","212.0300","210.3100"
"2015/11/30","209.8700","5283908.0000","211.0000","211.0800","209.7500"
"2015/11/27","210.7100","1062424.0000","210.6000","210.9900","210.0600"
"2015/11/25","210.5300","1886954.0000","210.7300","210.9300","210.2460"
"2015/11/24","210.5200","3222020.0000","208.9600","211.0100","208.6100"
"2015/11/23","210.2200","2329177.0000","210.4800","211.1700","209.7100"
"2015/11/20","210.6200","5014065.0000","210.6600","211.3200","210.0600"
"2015/11/19","209.6700","3369007.0000","209.7900","210.2400","209.4000"
"2015/11/18","209.8700","4701609.0000","207.2000","210.0900","207.1700"
"2015/11/17","206.5500","8067895.0000","207.1400","208.2000","206.0400"
"2015/11/16","206.8200","4713573.0000","203.4100","206.8200","203.3100"
"2015/11/13","203.6700","6863333.0000","205.4600","205.8200","203.5700"
"2015/11/12","205.9700","4299083.0000","207.6500","208.2200","205.9700"
"2015/11/11","208.9100","2044484.0000","210.0800","210.1100","208.8400"
"2015/11/10","209.7200","3550026.0000","208.6900","209.7800","208.3600"
"2015/11/09","209.2100","3548585.0000","210.4800","210.6200","208.1300"
"2015/11/06","211.2400","3182688.0000","210.9300","211.5100","209.6600"
"2015/11/05","211.3200","2726766.0000","211.6500","212.2000","210.2800"
"2015/11/04","211.5800","3355485.0000","212.5100","212.6900","210.9400"
"2015/11/03","212.1300","3077908.0000","211.1400","212.8700","210.9100"
"2015/11/02","211.6000","4297343.0000","209.5200","211.8100","209.3700"
"2015/10/30","209.0500","3971304.0000","210.2600","210.6100","208.9300"
"2015/10/29","210.0000","3382881.0000","209.5400","210.4400","209.3900"
"2015/10/28","210.1100","4517547.0000","208.1900","210.1400","207.3900"
"2015/10/27","207.7800","4240542.0000","207.3300","208.1700","206.9500"
"2015/10/26","208.1800","3308558.0000","208.4900","208.5250","207.7500"
"2015/10/23","208.6600","4272521.0000","208.4700","209.1100","207.4700"
"2015/10/22","206.3400","4172569.0000","204.1500","206.6500","203.9600"
